// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Anusha Yadav\source\repos\CSharpFeatures\CSharp-9\bin\Release\net5.0\c5a9bdaf-e992-4a6c-8e5a-4ad027ff9828
// command took 1.24 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\Anusha Yadav\source\repos\CSharpFeatures\CSharp-9\bin\Release\net5.0\c5a9bdaf-e992-4a6c-8e5a-4ad027ff9828
// command took 2.44 sec and exited with 0
// ***** Done, took 00:00:03 (3.77 sec)   *****
// Found 3 benchmarks:
//   Base.MultiplyNonStatic: DefaultJob
//   Base.MultiplyNonStaticWithConst: DefaultJob
//   Base.MultiplyStatic: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: Base.MultiplyNonStatic: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet c5a9bdaf-e992-4a6c-8e5a-4ad027ff9828.dll --anonymousPipes 1408 1396 --benchmarkName CSharp_9.StaticAnonymous.Base.MultiplyNonStatic --job Default --benchmarkId 0 in C:\Users\Anusha Yadav\source\repos\CSharpFeatures\CSharp-9\bin\Release\net5.0\c5a9bdaf-e992-4a6c-8e5a-4ad027ff9828\bin\Release\net5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.11
// Runtime=.NET 5.0.17 (5.0.1722.21314), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 224800.00 ns, 224.8000 us/op
WorkloadJitting  1: 1 op, 264600.00 ns, 264.6000 us/op

OverheadJitting  2: 16 op, 476900.00 ns, 29.8062 us/op
WorkloadJitting  2: 16 op, 398500.00 ns, 24.9062 us/op

WorkloadPilot    1: 16 op, 2100.00 ns, 131.2500 ns/op
WorkloadPilot    2: 32 op, 1500.00 ns, 46.8750 ns/op
WorkloadPilot    3: 64 op, 1700.00 ns, 26.5625 ns/op
WorkloadPilot    4: 128 op, 2300.00 ns, 17.9688 ns/op
WorkloadPilot    5: 256 op, 3700.00 ns, 14.4531 ns/op
WorkloadPilot    6: 512 op, 6900.00 ns, 13.4766 ns/op
WorkloadPilot    7: 1024 op, 11000.00 ns, 10.7422 ns/op
WorkloadPilot    8: 2048 op, 20800.00 ns, 10.1562 ns/op
WorkloadPilot    9: 4096 op, 77600.00 ns, 18.9453 ns/op
WorkloadPilot   10: 8192 op, 176100.00 ns, 21.4966 ns/op
WorkloadPilot   11: 16384 op, 321300.00 ns, 19.6106 ns/op
WorkloadPilot   12: 32768 op, 666800.00 ns, 20.3491 ns/op
WorkloadPilot   13: 65536 op, 1346000.00 ns, 20.5383 ns/op
WorkloadPilot   14: 131072 op, 1384800.00 ns, 10.5652 ns/op
WorkloadPilot   15: 262144 op, 2590800.00 ns, 9.8831 ns/op
WorkloadPilot   16: 524288 op, 5103700.00 ns, 9.7345 ns/op
WorkloadPilot   17: 1048576 op, 10345200.00 ns, 9.8660 ns/op
WorkloadPilot   18: 2097152 op, 19951900.00 ns, 9.5138 ns/op
WorkloadPilot   19: 4194304 op, 39448900.00 ns, 9.4054 ns/op
WorkloadPilot   20: 8388608 op, 78768500.00 ns, 9.3899 ns/op
WorkloadPilot   21: 16777216 op, 119990400.00 ns, 7.1520 ns/op
WorkloadPilot   22: 33554432 op, 223634800.00 ns, 6.6648 ns/op
WorkloadPilot   23: 67108864 op, 442044800.00 ns, 6.5870 ns/op
WorkloadPilot   24: 134217728 op, 909464100.00 ns, 6.7760 ns/op

OverheadWarmup   1: 134217728 op, 234855300.00 ns, 1.7498 ns/op
OverheadWarmup   2: 134217728 op, 175125200.00 ns, 1.3048 ns/op
OverheadWarmup   3: 134217728 op, 177343500.00 ns, 1.3213 ns/op
OverheadWarmup   4: 134217728 op, 175957100.00 ns, 1.3110 ns/op
OverheadWarmup   5: 134217728 op, 182979700.00 ns, 1.3633 ns/op
OverheadWarmup   6: 134217728 op, 177390800.00 ns, 1.3217 ns/op

OverheadActual   1: 134217728 op, 181322900.00 ns, 1.3510 ns/op
OverheadActual   2: 134217728 op, 179113300.00 ns, 1.3345 ns/op
OverheadActual   3: 134217728 op, 180118400.00 ns, 1.3420 ns/op
